# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0865-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.993 0.031
#MH Acceptance-Rate:	33.39%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.814507
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	1.000000	E
cds_SP5448_00010	0	102	102	1119	1.000000	E
cds_SP5448_00015	0	15	15	183	0.940000	U
cds_SP5448_00020	3	80	51	717	0.969000	U
cds_SP5448_00025	0	56	56	565	0.998000	E
cds_SP5448_00030	39	265	37	452	0.136000	U
cds_SP5448_00035	5	30	9	76	0.001000	NE
cds_SP5448_00040	0	30	30	338	0.970000	U
cds_SP5448_00050	16	128	21	192	0.001000	NE
cds_SP5448_00055	0	130	130	1266	1.000000	E
cds_SP5448_00060	0	55	55	528	0.990000	U
cds_SP5448_00065	1	138	130	1863	1.000000	E
cds_SP5448_00070	17	156	28	206	0.001000	NE
cds_SP5448_00080	44	91	6	87	0.000000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	39	186	16	223	0.001000	NE
cds_SP5448_00095	3	11	4	39	-1.000000	S
cds_SP5448_00100	2	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	2	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	1.000000	E
cds_SP5448_00190	0	61	61	956	0.997000	E
cds_SP5448_00195	1	65	35	486	0.793000	U
cds_SP5448_00200	0	86	86	991	1.000000	E
cds_SP5448_00205	1	22	14	131	0.005000	NE
cds_SP5448_00210	5	48	22	422	0.389000	U
cds_SP5448_00215	24	171	17	231	0.001000	NE
cds_SP5448_00220	23	95	12	176	0.001000	NE
cds_SP5448_00225	9	49	8	250	0.002000	NE
cds_SP5448_00230	6	29	9	199	0.001000	NE
cds_SP5448_00235	19	61	8	202	0.000000	NE
cds_SP5448_00240	22	92	8	72	0.000000	NE
cds_SP5448_00245	22	58	7	132	0.000000	NE
cds_SP5448_00250	3	17	7	230	0.000000	NE
cds_SP5448_00255	14	38	8	263	0.003000	NE
cds_SP5448_00260	52	173	15	177	0.001000	NE
cds_SP5448_00265	8	57	20	552	0.190000	U
cds_SP5448_00270	16	90	25	237	0.001000	NE
cds_SP5448_00280	2	78	40	434	0.774000	U
cds_SP5448_00285	10	41	10	119	0.001000	NE
cds_SP5448_00290	3	38	16	157	0.001000	NE
cds_SP5448_00295	4	150	58	627	0.942000	U
cds_SP5448_00300	15	148	50	828	0.916000	U
cds_SP5448_00305	15	67	13	193	0.001000	NE
cds_SP5448_00310	34	106	12	119	0.001000	NE
cds_SP5448_00315	0	13	13	288	0.930000	U
cds_SP5448_00320	0	31	31	613	0.910000	U
cds_SP5448_00325	0	31	31	613	0.894000	U
cds_SP5448_00330	0	15	15	287	0.948000	U
cds_SP5448_00335	0	47	47	828	0.985000	U
cds_SP5448_00340	0	14	14	273	0.932000	U
cds_SP5448_00345	0	20	20	333	0.902000	U
cds_SP5448_00350	0	34	34	640	0.934000	U
cds_SP5448_00355	0	27	27	409	0.896000	U
cds_SP5448_00360	0	7	7	192	0.894000	U
cds_SP5448_00365	0	22	22	252	0.969000	U
cds_SP5448_00370	0	21	21	333	0.913000	U
cds_SP5448_00375	0	22	22	298	0.964000	U
cds_SP5448_00380	1	34	22	303	0.400000	U
cds_SP5448_00385	0	10	10	180	0.899000	U
cds_SP5448_00390	0	24	24	393	0.891000	U
cds_SP5448_00395	1	36	35	524	0.938000	U
cds_SP5448_00400	0	19	19	342	0.876000	U
cds_SP5448_00405	0	25	25	486	0.827000	U
cds_SP5448_00410	0	16	16	171	0.938000	U
cds_SP5448_00415	0	29	29	424	0.912000	U
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	1	46	39	492	0.932000	U
cds_SP5448_00430	0	15	15	181	0.939000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.903000	U
cds_SP5448_00445	0	19	19	378	0.814000	U
cds_SP5448_00450	1	67	52	714	0.987000	U
cds_SP5448_00455	0	23	23	380	0.865000	U
cds_SP5448_00465	42	91	11	202	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	40	186	15	216	0.001000	NE
